#Macho_id CAR_Sigma_B CAR_mean_B CAR_tau_B max_loglik_B fit_B CAR_Sigma_R CAR_mean_R CAR_Tau_R max_loglik_R fit_R Sigma_B Eta_B Con_B stetson_L_B CuSum_B B-R_B Period_B Period_SNR_B stetson_K_AC_B N_above_4_B N_below_4_B label Sigma_R Eta_R Con_R stetson_L_R CuSum_R B-R_R Period_R Period_SNR_R stetson_K_AC_R N_above_4_R N_below_4_R label
206.17003.54 -2.901326e-02 -8.326376e+00 2.612159e+01 -1.596331e+03 1.602122e+02 -2.066562e-02 -8.287402e+00 5.234111e+01 -1.599362e+03 5.294461e+01 0.0281701749012 0.0740174860586 0.148562729471 0.0597302713336 0.711011511984 0.227059925094 0.000952840389768 0.295246441796 0.884678101597 0.485651214128 0.50580781415 4 0.0420282940877 0.0544181016836 0.0305914506965 0.0591220601291 0.706525174438 0.227059925094 0.000987978746274 0.311652553083 0.952166454786 0.604651162791 0.482876712329 4
207.16253.210 3.746744e-02 -6.603528e+00 1.015603e+01 -1.448441e+03 3.200104e+01 -4.639409e-03 -7.073834e+00 2.821186e+02 -1.667941e+03 7.014691e+00 0.0281454407779 0.298506364376 0.00641025641026 0.0159550126788 0.64858438791 0.346207865169 0.000952045803863 0.28968985841 0.820781324363 0.690949227373 0.391763463569 4 0.0258348397701 0.10379936702 0.0269501548859 0.0204411974802 0.660429260791 0.346207865169 0.000985107996608 0.44211027737 0.833984311554 0.568475452196 0.291095890411 4
207.16256.307 -1.759256e-02 -6.681161e+00 6.897268e+01 -1.718849e+03 1.351491e+01 -1.338852e-02 -6.613568e+00 1.109993e+02 -1.187685e+03 1.345416e+01 0.0342119078184 0.110766876419 0.253761622992 0.0254416193109 0.5036079515 0.220037453184 0.000422019449128 0.20980743851 0.618232331269 0.523178807947 0.258711721225 4 0.0522824015965 0.131315883675 0.264065309851 0.0269308025019 0.494999851257 0.220037453184 0.000985107996608 0.295084201016 0.704756674953 0.385012919897 0.167808219178 4
207.16259.243 -1.229771e-02 -7.331644e+00 4.670523e+02 -2.064735e+03 5.204133e+00 3.970004e-02 -6.835353e+00 9.876304e+01 -1.119604e+03 1.123785e+01 0.0570195669709 0.0143849824039 0.0494058786742 0.0391879622884 0.816656915406 0.119616104869 0.000952832343447 0.381335369508 0.90780212779 0.584988962472 0.599788806758 4 0.140320005204 0.0608713184487 0.206917603068 0.039224576186 0.770387074149 0.119616104869 0.000987970402472 0.317342536671 0.892024602815 0.630490956072 0.616438356164 4
207.16309.362 3.656773e-02 -6.942521e+00 2.153664e+00 -1.589518e+03 3.550440e+01 -2.854013e-03 -6.464777e+00 7.755177e+02 -1.702246e+03 3.295824e+00 0.0160232977841 0.731696018523 0.0125816212773 0.00296844154384 0.217303539352 0.12265917603 0.000949302095017 0.0255672287631 0.57254864444 0.0794701986755 0.0527983104541 4 0.0363861719387 0.288321077039 0.0128883681467 0.00459079153561 0.662521926046 0.12265917603 0.000987154783736 0.158127959228 0.852787234468 0.801033591731 0.39497716895 4
207.16369.202 -7.583163e-03 -7.530067e+00 8.576257e+01 -2.311756e+03 6.963509e+00 -8.214533e-03 -7.009121e+00 1.236438e+02 -1.897694e+03 7.772118e+00 0.0147211148462 0.106368791781 0.00633672896447 0.0246174577376 0.784507202071 0.113998127341 0.000952045803863 0.416657090778 0.882473654258 0.876379690949 0.422386483633 4 0.0335456376833 0.128610489242 0.0 0.0256112599516 0.792770224853 0.113998127341 0.000987154783736 0.466982133066 0.893174808464 0.883720930233 0.438356164384 4
207.16370.107 -1.727273e-02 -6.905227e+00 3.966884e+01 -1.902249e+03 1.230942e+01 -1.288157e-02 -7.611263e+00 5.690043e+01 -2.274119e+03 1.523713e+01 0.026027670413 0.100617231857 0.147280538218 0.0277344703397 0.376742668003 0.400983146067 0.711857982731 0.211460447708 0.661383916029 0.505518763797 0.350580781415 4 0.0302567490624 0.053441950123 0.166302408117 0.0283641311983 0.412255789375 0.400983146067 0.738175993309 0.285093845427 0.796073737319 0.795865633075 0.41095890411 4
207.16483.111 -9.687208e-03 -7.921597e+00 1.567898e+02 -2.394808e+03 2.089988e+01 5.971159e-02 -7.750655e+00 5.557900e+00 -1.215170e+03 3.163305e+03 0.0143265591497 0.0725523507073 0.47047146402 0.0263100614184 0.68034580138 0.195692883895 0.000952832343447 0.292414437724 0.895135912716 0.523178807947 0.585005279831 4 0.0389669358018 0.248951769467 0.357222844345 0.0269819236579 0.605047723481 0.195692883895 0.000987970402472 0.222637947225 0.8875978473 0.568475452196 0.480593607306 4
208.15912.448 -6.073929e-03 -5.484276e+00 2.081097e+02 -1.133559e+03 2.734627e+00 -1.337434e-02 -6.173802e+00 4.208547e+01 -1.399344e+03 4.866858e+00 0.0458473704659 0.530316760044 0.00632354118306 0.00622497805352 0.373633129026 0.398174157303 0.632194982645 0.0502079385036 0.751728356691 0.333333333333 0.231256599789 4 0.0441145164957 0.345067984628 0.0443962860608 0.00690213594889 0.532814829286 0.398174157303 0.000987983497768 0.0848108143226 0.789235495966 0.426356589147 0.336757990868 4
211.16249.191 -9.141885e-01 -7.226727e+00 1.496818e-02 -8.876102e+02 2.502088e+06 -9.804685e-01 -7.048827e+00 1.328271e-02 -6.188460e+02 6.931797e+06 0.0285792971548 0.297385189663 0.100326560232 0.0124913121326 0.600301599936 0.19452247191 0.000952834542405 0.209002991983 0.994157923117 0.57174392936 0.491024287223 4 0.0424535251314 0.359036381325 0.0200628930818 0.0117244424039 0.474189027102 0.19452247191 0.000984293160564 0.207820176736 0.985409611712 0.413436692506 0.342465753425 4
